source_id,case_id,base_case_id,variant_label,fluid,turbulence_model,heater_power_W,cooling_power_W,T_init_K,nprocs,walltime,three_d_outer_insulation_thickness_in,heater_h_W_m2K,cooler_h_W_m2K,test_section_h_W_m2K,insulated_h_W_m2K,mu_spec_type,mu_coeff_summary,kappa_coeff_summary,cp_model_summary,rho_model_summary,three_d_loss_bc_summary,three_d_radiation_summary,convergence_enabled,convergence_check_interval,convergence_min_iterations,convergence_qoi_rtol,convergence_qoi_window,run_status,convergence_reached,exp_case_name,exp_reference_status,exp_all_temp_rmse_k,exp_mdot_abs_error_pct,exp_q_external_loss_abs_error_pct,assumption_note
val_salt_test_2_coarse_mesh_laminar,salt_test_2,salt_test_2,,hitec_salt,laminar,265.7,56.34,451.5,64,120:00:00,1.65,8.761,28.57706637639941,5.964,5.964,expInvT,"mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.65 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,running,False,Salt 2,available,5.195921279377687,18.951017976190467,20.574219228738393,"hitec_salt / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.65 in. Zone-level bc_params are heater h=8.761, cooler h=28.57706637639941, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt_test_1,jin,hitec_salt_jin,laminar,232.3,55.58,440.0,64,120:00:00,1.4,8.761,31.29071065643277,5.964,5.964,expInvT,"Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,terminated,False,Salt 1,available,17.745189678331162,28.70387302215191,27.360108353568656,"hitec_salt_jin / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=31.29071065643277, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,salt_test_1,kirst,hitec_salt_kirst,laminar,232.3,55.58,440.0,64,120:00:00,1.4,8.761,31.29071065643277,5.964,5.964,expInvT,"Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,completed,True,Salt 1,available,17.55620984679648,30.809515537974686,27.346344175812238,"hitec_salt_kirst / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=31.29071065643277, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt_test_2,jin,hitec_salt_jin,laminar,265.7,56.34,447.0,64,120:00:00,1.4,8.761,29.81733062574886,5.964,5.964,expInvT,"Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,terminated,False,Salt 2,available,5.622281562405422,21.65710934523809,20.945467128832053,"hitec_salt_jin / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=29.81733062574886, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,salt_test_2,kirst,hitec_salt_kirst,laminar,265.7,56.34,447.0,64,120:00:00,1.4,8.761,29.81733062574886,5.964,5.964,expInvT,"Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,completed,True,Salt 2,available,6.140964304544514,27.121653571428574,20.43851841298395,"hitec_salt_kirst / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=29.81733062574886, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,salt_test_3,jin,hitec_salt_jin,laminar,297.5,60.55,459.0,64,120:00:00,1.4,8.761,29.871708360729436,5.964,5.964,expInvT,"Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,terminated,False,Salt 3,available,5.612608549444536,14.711376500000014,19.009679138345895,"hitec_salt_jin / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=29.871708360729436, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,salt_test_3,kirst,hitec_salt_kirst,laminar,297.5,60.55,459.0,64,120:00:00,1.4,8.761,29.871708360729436,5.964,5.964,expInvT,"Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,terminated,False,Salt 3,available,5.458447708953641,20.17977992857144,19.01950843267885,"hitec_salt_kirst / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=29.871708360729436, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt_test_4,jin,hitec_salt_jin,laminar,337.6,65.98,475.0,64,120:00:00,1.4,8.761,29.686756197250634,5.964,5.964,expInvT,"Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,terminated,False,Salt 4,available,6.061627553731621,15.496810024875622,17.40163440703854,"hitec_salt_jin / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=29.686756197250634, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Jin viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [0.001149, -810.896, 780600]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,salt_test_4,kirst,hitec_salt_kirst,laminar,337.6,65.98,475.0,64,120:00:00,1.4,8.761,29.686756197250634,5.964,5.964,expInvT,"Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]","kappa polynomial coefficients [0.78, -0.00125, 1.6e-06, 0, 0, 0, 0, 0]",Cp polynomial coefficient array with only c0 active; effectively constant 1423.47,"rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,terminated,False,Salt 4,available,5.908171197457817,20.999207201492545,17.45227379771527,"hitec_salt_kirst / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 1.40 in. Zone-level bc_params are heater h=8.761, cooler h=29.686756197250634, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. Kirst viscosity variant: mu expInvT law A*exp(b0/T+b1/T^2+...) with coefficients [6.757e-05, 2247.11]. Cp polynomial coefficient array with only c0 active; effectively constant 1423.47. rho polynomial coefficient array length 8; first two terms active [2293.6, -0.7497]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
val_water_test_1_coarse_mesh_laminar,water_test_1,water_test_1,,water,laminar,58.8,26.86,314.515625,64,120:00:00,0.4,8.761,105.01276709392775,5.964,5.964,polynomial,"mu polynomial coefficients [26.995183059, -0.56139378194, 0.0050098770493, -2.4857792888e-05, 7.4037293721e-08, -1.3233646643e-10, 1.3141307983e-13, -5.5918253069e-17]","kappa polynomial coefficients [-24.404864949, 0.36145817422, -0.00213161441, 6.3692716003e-06, -9.5750038555e-09, 5.7652097967e-12, 0, 0]","Cp polynomial coefficient array length 8: [156198.60715, -2209.44267, 12.827544568, -0.037185937665, 5.3810013455e-05, -3.1070889884e-08, 0, 0]","rho polynomial coefficient array length 8: [-5177.3045575, 87.247110819, -0.49471595337, 0.0014140506497, -2.0407934727e-06, 1.1832216776e-09, 0, 0]",patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in,"rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95",True,100,500,0.0001,100,terminated,False,Water 1,available,1.4286990033767857,21.60989997891566,5.6368920211303,"water / laminar case. 3D wall-loss treatment is patchwise: patchwise rcExternalTemperature layered walls; externalTemperature fixed-loss surrogates; outer insulation layer about 0.40 in. Zone-level bc_params are heater h=8.761, cooler h=105.01276709392775, test-section h=5.964, insulated-region h=5.964. rcExternalTemperature uses Tsur/emissivity, so radiation-like surface exchange is encoded patchwise in the 3D wall model; parsed emissivity entries: 0.95. mu polynomial coefficients [26.995183059, -0.56139378194, 0.0050098770493, -2.4857792888e-05, 7.4037293721e-08, -1.3233646643e-10, 1.3141307983e-13, -5.5918253069e-17]. Cp polynomial coefficient array length 8: [156198.60715, -2209.44267, 12.827544568, -0.037185937665, 5.3810013455e-05, -3.1070889884e-08, 0, 0]. rho polynomial coefficient array length 8: [-5177.3045575, 87.247110819, -0.49471595337, 0.0014140506497, -2.0407934727e-06, 1.1832216776e-09, 0, 0]. 3D CFD resolves viscous and pressure losses directly from the Navier-Stokes solution; no separate Darcy friction-factor input is carried in case_config. Blank two_d_friction_factor_* fields in the contract mean the reduced comparison table did not publish those derived factors, not that 3D friction is zero. two_d_* and one_d_stage* columns are comparison-contract enrichment fields from the cross-model publication table; they describe 2D/1D reference scenarios, not native 3D solver switches."
